Word;TF-IDF_Score;Sentiment
version;0,197173002;negative
firm;0,191828727;negative
unfortunately;0,191828727;negative
sticky;0,163211338;negative
tasty;0,104291177;negative
taste;0,092687023;positive
good;0,087781834;positive
instant;0,083737509;negative
present;0,083737509;negative
breaking;0,071459825;negative
tasty;0,071256078;positive
delicious;0,068881433;positive
great;0,063752793;positive
super;0,047376811;positive
consistency;0,045709791;positive
really;0,043338321;positive
sweet;0,037359493;positive
protein;0,036013642;positive
value;0,035295344;positive
like;0,033325797;positive
perfect;0,031651386;positive
bit;0,030217375;positive
snack;0,029080993;positive
nutritional;0,028953237;positive
ideal;0,022738384;positive
training;0,022471483;positive
best;0,021624716;positive
