Review,Title,Content,reviews_english
Review 1,Einfach nur Lecker,Super lecker kann ich nur empfehlen was für mich auch  sehr gut ist das er Glutenfrei ist so was findet man selten zumindest einer der auch Schmeckt.,"I can only recommend it's super tasty, which is also very good for me because it's gluten-free. It's rare to find at least one that tastes good."
Review 2,Bester Riegel überhaupt,Besser als jeder Protein Riegel ich bin damit voll zufrieden und werde absofort nichts anderes mehr bestellen als das,Better than any protein bar. I am completely satisfied with it and will not be ordering anything else from now on
Review 3,Lecker,Der Riegel schmeckt super.,The bar tastes great.
Review 4,Meine Empfehlung 👌,Sehr lecker 😍 10 von 10 ✌️,Very tasty 😍 10 out of 10 ✌️
Review 5,Super,"Lohnt total!! So lecker, wenn da jetzt drin steckt, was drauf steht ist es der Hammer. Bester Oat-Riegel, den ich je probiert habe. Konsistenz ist auch toll.","Totally worth it!! So delicious, if it has what it says on it, it's awesome. Best oat bar I've ever tried. Consistency is great too."
Review 6,Sinnvoll,Sehr lecker und gute Nährwerte für einen Marathonläufer,Very tasty and good nutritional values ​​for a marathon runner
Review 7,Leckerer Pre- Workout Riegel,"Lecker nussig, nicht zu süß und angenehme Konsistenz.","Deliciously nutty, not too sweet and pleasant consistency."
Review 8,Perfekter Snack,Genau so muss ein Oatbar sein!,This is exactly how an oaty bar should be!
Review 9,Absolute Empfehlung,"Nährwerte, Konsistenz und Geschmack einfach TOP! Vor oder nach dem Training oder auch mal ""zwischendurch"", der GOAT passt immer👍","Nutritional values, consistency and taste are simply TOP! Before or after training or even “in between”, the GOAT always fits👍"
Review 10,Prima vullend reepje!,"Ik zou hem zeker halen, hij vult goed en is niet te droog. Structuur is absoluut niet slecht voor zo een reep. Hij komt heel dicht in de buurt van pindakaas smaak, moet je dus wel van houden.","I'm not sure if it's good, it's not worth it. Structure is absolutely not bad for a reep. Hij comes close to the buurt van pindakaas smaak, moet je dus wel van houden."
Review 11,Verbesserte Konsistenz und neue Sorte mein Favorit,"Mein neuer Lieblingsriegel seit der Verbesserung der Rezeptur! Hat sich definitiv gelohnt, die Konsistenz ist nun viel besser und die neue Sorte super lecker! :)","My new favorite bar since the recipe was improved! It was definitely worth it, the consistency is now much better and the new variety is super tasty! :)"
Review 12,Perfect snack na de gym om op krachten te komen,Perfecte snack na de gym,Perfect snack after the gym
Review 13,Wirklich der Goat,"Sehr lecker und tolle Nährwerte, perfekt für unterwegs und auch als Pre Workout Snack","Very tasty and great nutritional values, perfect for on the go and also as a pre-workout snack"
Review 14,Der beste Proteinriegel den ich kenne,"En sehr fruchtiger und crunchiger Proteinriegel. Konsistenz nicht zu trocken und auch nicht zu süß. Genau richtig für einen Snack vor dem gym oder danach. 
Bitte nehmt ihn nicht aus dem Sortiment. Meine Kinder mögen ihn auch sehr gerne","A very fruity and crunchy protein bar. Consistency not too dry and not too sweet either. Just right for a snack before or after the gym. 
Please do not take it out of the range. My children really like it too"
Review 15,Delicious,Sehr saftig und crunchy super mit ernussbutter und schokostücken. Bester Oatbar für mich :),"Very juicy and crunchy, great with peanut butter and chocolate pieces. Best Oatbar for me :)"
Review 16,Goat Bar,MEGA LEKKER! Heerlijke reep met een goede substantie. Vind hem een beetje naar coockiedough smaken,MEGA LEKKER! Heerlijke reep with a good substance. There's a beetje after a coockiedough smell
Review 17,Goat bar,Super lekker!,Super tasty!
Review 18,Lecker,Genau mein Geschmack! Ideal für zwischendurch.,Exactly my taste! Ideal for in between meals.
Review 19,Leckerer Müsliriegel mit Proteinkick,"Schmeckt lecker, gute Konsistenz
Der Riegel macht satt, liefert Eiweiß. Mit den Schoko-Nibs ist die Kombi perfekt.","Tastes delicious, good consistency
The bar fills you up and provides protein. With the chocolate nibs the combination is perfect."
Review 20,Toller Geschmack,"Ein rundum gelungener Riegel! Finde ich eine großartige Alternative, wenn mich zwischendurch der Hunger packt oder auch vor oder nach dem Training! Geschmacklich einwandfrei!",An all-round successful bar! I find it a great alternative when I get hungry every now and then or before or after training! Tastes perfect!
