;reviews_english;neg;neu;pos;compound
0;recommend  s super tasty   also good  s gluten free    s rare find least one taste good  ;0.0;0,34;0,66;0,9382
1;better protein bar   completely satisfied ordering anything else;0.0;0,5;0,5;0,7178
2;bar taste great  ;0.0;0,328;0,672;0,6249
3;tasty 😍 10 10 ✌️;0.0;1;0;0
4;totally worth     delicious   say    s awesome   best oat bar  ve ever tried   consistency great  ;0.0;0,301;0,699;0,9616
5;tasty good nutritional value ​​for marathon runner;0.0;0,485;0,515;0,6486
6;deliciously nutty   sweet pleasant consistency  ;0.0;0,179;0,821;0,8481
7;exactly oaty bar  ;0.0;1;0;0
8;nutritional value   consistency taste simply top   training even “ ”   goat always fits👍;0.0;0,682;0,318;0,4939
9; m sure  s good    s worth   structure absolutely bad reep   hij come close buurt van pindakaas smaak   moet je dus wel van houden  ;0.141;0,595;0,264;0,3197
10;new favorite bar since recipe improved   definitely worth   consistency much better new variety super tasty      ;0.0;0,34;0,66;0,9477
11;perfect snack gym;0.0;0,351;0,649;0,5719
12;tasty great nutritional value   perfect go also pre workout snack;0.0;0,407;0,593;0,8807
13;fruity crunchy protein bar   consistency dry sweet either   right snack gym   please take range   child really like;0.0;0,634;0,366;0,796
14;juicy crunchy   great peanut butter chocolate piece   best oatbar    ;0.0;0,458;0,542;0,8519
15;mega lekker   heerlijke reep good substance    s beetje coockiedough smell;0.0;0,734;0,266;0,4404
16;super tasty  ;0.0;0,204;0,796;0,5994
17;exactly taste   ideal meal  ;0.0;0,469;0,531;0,5267
18;taste delicious   good consistency bar fill provides protein   chocolate nib combination perfect  ;0.0;0,466;0,534;0,8834
19;all round successful bar   find great alternative get hungry every training   taste perfect  ;0.0;0,463;0,537;0,9118
20;super delicious    ;0.0;0;1;0,8225
21;delicious;0.0;0;1;0,5719
22;goat bar super tasty   light filling   absolutely recommended  ;0.0;0,5;0,5;0,7178
23;bar tasty   filling ideal work   example   taste great   sweet great combination berry   since wanted test first   ordered one pack   later annoys unfortunately n t available moment   highly recommend good addition favorite designer bar 🫶🏼;0.1;0,444;0,455;0,9605
24;  pleasant consistency   relatively filling bar   good nutritional value ingredient;0.0;0,411;0,589;0,8225
25;süüper;0.0;1;0;0
26;really tasty also good consistency   best bar  ;0.0;0,404;0,596;0,8107
27;consistency hard soft   taste also good   recommend   order again…;0.109;0,469;0,422;0,6124
28;simply delicious 😋   save strenuous workout;0.0;0,303;0,697;0,7845
29;good product;0.0;0,256;0,744;0,4404
30;something new term taste   take bit getting used   palate get used    ll want;0.0;0,902;0,098;0,0772
31;taste great   consistency also good  ;0.0;0,3;0,7;0,7906
32;heerlijk reep goede smaak en vult good;0.0;0,674;0,326;0,4404
33;edited version bar really deserves name   new version longer compared 1st version   worry breaking tooth first bar   eat relaxed manner   latch n t get stuck everywhere either  ;0.163;0,731;0,106;-0,1779
34;say bar really 10 10   consistency compared old goatbar berry   taste also amazing   esn really hit ground running  ;0.0;0,817;0,183;0,5859
35;super tasty   good taste great consistency;0.0;0,216;0,784;0,8979
36;satisfied;0.0;0;1;0,4215
37;insanely good   honest never tried bar like anymore always taste like leather cloth   one   one   damn  ;0.287;0,456;0,257;0,0721
38;love bar   best ever;0.0;0,192;0,808;0,8555
